rank,index,target,prediction,confidence,other_confidence
1,3178,5,3,0.9999846525713649,0.9999912472376148
2,5355,2,3,0.9999846371226713,0.9999910111852476
3,5915,2,3,0.9999795472003099,0.9999878035593532
4,1589,5,3,0.9999777809910817,0.9999870235688113
5,2153,5,3,0.9999401962858564,0.9999635103322875
6,3152,5,3,0.9999355790734377,0.9999605202832564
7,6059,2,3,0.9999256429981692,0.9999539090779521
8,3516,5,3,0.9999037432488723,0.9999401260973853
9,1699,2,3,0.9999031507305391,0.9999392506523327
10,2642,2,5,0.9998829830623528,0.9999218144573285
