rank,index,target,prediction,confidence,other_confidence
1,3969,2,3,0.9995008420024046,0.9997336829526879
2,5355,2,3,0.9994905999201339,0.9997318917648195
3,6059,2,3,0.999388139990479,0.999673219341538
4,5915,2,3,0.999387774004171,0.999673688156523
5,1229,2,3,0.999264397131355,0.9995956219308818
6,1699,2,3,0.9992298758777353,0.9995834507238405
7,6124,2,3,0.9992278957191711,0.9995865637159366
8,4282,2,3,0.9991761272638526,0.9995476812802159
9,1954,7,3,0.9989002527056509,0.9993872835373128
10,1527,4,1,0.9985382456871565,0.9991289794119224
