rank,index,target,prediction,confidence,other_confidence
1,1527,4,1,0.9983001641653617,0.9974106361213254
2,985,4,1,0.9968405623300336,0.995383332647366
3,3914,4,1,0.9956443225176825,0.9937707153504703
4,6790,4,1,0.9951821808736365,0.9931577247298267
5,939,4,1,0.9947563121965206,0.9925979421247063
6,4732,4,1,0.9945699898933774,0.9923453291640568
7,5410,4,1,0.9938875237970468,0.991458236157892
8,510,4,1,0.9935989098721953,0.991074255984947
9,3078,5,8,0.9907942395953497,0.9865856715464275
10,5037,4,1,0.9904440207669163,0.9870430859074929
